file_path,classification,duration_sec,num_transients,bpm
/Users/jannikassfalg/Documents/Sample Packs/Audiotent - Hypnosis/Drum Loops/009 AT Hypnosis Drum - Over 137 Kick.wav,Loop,7.01,19,136.0
/Users/jannikassfalg/Documents/Sample Packs/Audiotent - Hypnosis/Drum Loops/187 AT Hypnosis Drum - Paradox 137 Full.wav,Loop,7.01,44,136.0
/Users/jannikassfalg/Documents/Sample Packs/Audiotent - Hypnosis/Drum Loops/024 AT Hypnosis Drum - Void 137 Strp.wav,Loop,7.01,44,136.0
/Users/jannikassfalg/Documents/Sample Packs/Audiotent - Hypnosis/Drum Loops/124 AT Hypnosis Drum - Koln 137 No Kick.wav,Loop,7.01,48,136.0
/Users/jannikassfalg/Documents/Sample Packs/Audiotent - Hypnosis/Drum Loops/127 AT Hypnosis Drum - Future 137 Full.wav,Loop,7.01,47,136.0
/Users/jannikassfalg/Documents/Sample Packs/Audiotent - Hypnosis/Drum Loops/184 AT Hypnosis Drum - Path 137 No Kick.wav,Loop,7.01,55,136.0
/Users/jannikassfalg/Documents/Sample Packs/Audiotent - Hypnosis/Drum Loops/103 AT Hypnosis Drum - Altering 137 Full.wav,Loop,7.01,53,136.0
/Users/jannikassfalg/Documents/Sample Packs/Audiotent - Hypnosis/Drum Loops/057 AT Hypnosis Drum - Optic 137 Kick.wav,Loop,7.01,16,136.0
/Users/jannikassfalg/Documents/Sample Packs/Audiotent - Hypnosis/Drum Loops/131 AT Hypnosis Drum - Future 137 Perc.wav,Loop,7.01,16,272.0
/Users/jannikassfalg/Documents/Sample Packs/Audiotent - Hypnosis/Drum Loops/090 AT Hypnosis Drum - Pattern 137 Strp.wav,Loop,7.01,64,136.0
/Users/jannikassfalg/Documents/Sample Packs/Audiotent - Hypnosis/Drum Loops/072 AT Hypnosis Drum - Vortex 137 Strp.wav,Loop,7.01,67,136.0
/Users/jannikassfalg/Documents/Sample Packs/Audiotent - Hypnosis/Drum Loops/123 AT Hypnosis Drum - Koln 137 Kick.wav,Loop,7.01,15,136.0
